day,date_time,phase,temperature,ventilation,irrigation,light_hours,plant1_height,plant1_root_length,plant1_flowers,plant1_appearance,error_active,error_description
1,2025-04-06 11:37:14,germination,16.4,1.1,80.1,12.9,0.0,0.0,0,3.8,False,
2,2025-04-06 11:37:14,germination,19.5,1.9,50.4,12.6,0.0,0.1,0,3.7,False,
3,2025-04-06 11:37:14,germination,18.9,2.0,65.9,13.0,0.1,0.4,0,4.0,False,
4,2025-04-06 11:37:14,germination,19.6,1.3,70.1,13.1,0.3,1.0,0,3.9,False,
5,2025-04-06 11:37:14,germination,16.3,1.1,81.6,12.3,0.7,2.0,0,3.8,False,
6,2025-04-06 11:37:15,germination,15.4,1.9,87.7,13.1,1.2,3.5,0,3.8,False,
7,2025-04-06 11:37:15,germination,16.8,1.5,89.4,13.0,1.8,5.5,0,3.9,False,
8,2025-04-06 11:37:15,germination,18.0,1.9,21.921992423960518,12.8,2.5,7.4,0,3.7,True,Irrigation too low: 21.9ml
9,2025-04-06 11:37:15,germination,17.6,1.6,81.3,12.7,3.2,9.5,0,3.9,False,
10,2025-04-06 11:37:15,germination,19.8,1.1,71.6,13.6,3.8,11.5,0,4.3,False,
11,2025-04-06 11:37:16,growth,19.1,2.9,105.3,14.3,3.8,11.5,0,8.0,False,
12,2025-04-06 11:37:16,growth,18.4,2.5,116.9,14.5,3.9,11.5,0,8.1,False,
13,2025-04-06 11:37:16,growth,20.3,3.0,192.9,14.9,3.9,11.6,0,8.1,False,
14,2025-04-06 11:37:16,growth,20.4,3.0,191.9,15.3,3.9,11.6,0,8.3,False,
15,2025-04-06 11:37:16,growth,20.1,2.6,169.6,14.9,4.0,11.6,0,7.9,False,
16,2025-04-06 11:37:16,growth,20.7,2.3,178.8,15.5,4.0,11.7,0,8.2,False,
17,2025-04-06 11:37:16,growth,24.574114425316566,2.8,110.6,14.9,4.1,11.7,0,7.9,True,Temperature too high: 24.6°C
18,2025-04-06 11:37:16,growth,19.5,2.5,173.8,14.9,4.1,11.8,0,8.2,False,
19,2025-04-06 11:37:16,growth,20.5,2.8,142.7,14.4,4.2,11.8,0,8.0,False,
20,2025-04-06 11:37:16,growth,21.2,2.5,107.0,15.7,4.3,11.9,0,8.2,False,
21,2025-04-06 11:37:16,growth,21.1,2.4,107.1,15.2,4.4,12.0,0,7.8,False,
22,2025-04-06 11:37:16,growth,20.1,2.2,122.2,14.8,4.6,12.2,0,8.2,False,
23,2025-04-06 11:37:16,growth,20.1,2.7,196.2,15.3,4.7,12.3,0,7.9,False,
